"","SampleSize","Method","Activity"
"1",3,"Ratio",11.7611111111111
"2",6,"Ratio",12.2583333333333
"3",10,"Ratio",15.7236794019934
"4",20,"Ratio",17.3882760364004
"5",30,"Ratio",16.8777991803019
"6",3,"Ratio",16.4
"7",6,"Ratio",17.0184782608696
"8",10,"Ratio",12.1485603543743
"9",20,"Ratio",16.0485346084766
"10",30,"Ratio",15.6465535661267
"11",3,"Ratio",16.6907407407407
"12",6,"Ratio",17.8094384707288
"13",10,"Ratio",21.7733333333333
"14",20,"Ratio",15.9791323618098
"15",30,"Ratio",15.1516118428187
"16",3,"Ratio",21.2888888888889
"17",6,"Ratio",15.8802362707535
"18",10,"Ratio",14.5658852258852
"19",20,"Ratio",15.0542925801797
"20",30,"Ratio",15.9755973972535
"21",3,"Ratio",12.7809523809524
"22",6,"Ratio",18.5481481481481
"23",10,"Ratio",16.4461788617886
"24",20,"Ratio",16.1909087417958
"25",30,"Ratio",17.3120837861718
"26",3,"Ratio",13.8527777777778
"27",6,"Ratio",13.3944444444444
"28",10,"Ratio",17.2383585858586
"29",20,"Ratio",17.6511111111111
"30",30,"Ratio",14.8785771771138
"31",3,"Ratio",12.9674074074074
"32",6,"Ratio",15.295214045214
"33",10,"Ratio",15.9278560207908
"34",20,"Ratio",16.901671099436
"35",30,"Ratio",14.6927426178473
"36",3,"Ratio",19.8412698412698
"37",6,"Ratio",19.6790598290598
"38",10,"Ratio",16.5175848382827
"39",20,"Ratio",14.7482142857143
"40",30,"Ratio",16.857439378234
"41",3,"Ratio",18.1944444444444
"42",6,"Ratio",18.2593314093314
"43",10,"Ratio",15.5288633846773
"44",20,"Ratio",15.2911763667367
"45",30,"Ratio",16.6970930578877
"46",3,"Ratio",11.7666666666667
"47",6,"Ratio",14.6253783684016
"48",10,"Ratio",15.4304245633593
"49",20,"Ratio",14.8365961945032
"50",30,"Ratio",17.9330275359256
"51",3,"Ratio",14.0444444444444
"52",6,"Ratio",20
"53",10,"Ratio",16.4822658183104
"54",20,"Ratio",16.2141472485216
"55",30,"Ratio",17.4712022977023
"56",3,"Ratio",15.2777777777778
"57",6,"Ratio",16.2952196382429
"58",10,"Ratio",13.9233333333333
"59",20,"Ratio",16.2496048525118
"60",30,"Ratio",16.6693579663728
"61",3,"Ratio",14.4666666666667
"62",6,"Ratio",16.3595238095238
"63",10,"Ratio",15.1886147186147
"64",20,"Ratio",16.4960117789188
"65",30,"Ratio",16.0524576484942
"66",3,"Ratio",16.8410991636798
"67",6,"Ratio",17.7243145743146
"68",10,"Ratio",16.677619047619
"69",20,"Ratio",16.0138884929434
"70",30,"Ratio",16.1716753616754
"71",3,"Ratio",13.6166666666667
"72",6,"Ratio",14.7952441077441
"73",10,"Ratio",18.4072059289002
"74",20,"Ratio",17.9776591141833
"75",30,"Ratio",15.3401603121752
"76",3,"Ratio",17.515873015873
"77",6,"Ratio",13.8793103448276
"78",10,"Ratio",13.4893722943723
"79",20,"Ratio",15.0285930515622
"80",30,"Ratio",14.9300147045308
"81",3,"Ratio",11.9074074074074
"82",6,"Ratio",17.3140018066847
"83",10,"Ratio",15.1409245633593
"84",20,"Ratio",14.1278697691198
"85",30,"Ratio",15.478402870111
"86",3,"Ratio",17.1468253968254
"87",6,"Ratio",15.0420454545455
"88",10,"Ratio",15.468884656509
"89",20,"Ratio",15.2679295907345
"90",30,"Ratio",14.9508459659059
"91",3,"Ratio",12.4112554112554
"92",6,"Ratio",15.9035529715762
"93",10,"Ratio",21.9422485726834
"94",20,"Ratio",17.3111942367165
"95",30,"Ratio",16.4335436914052
"96",3,"Ratio",21.8055555555556
"97",6,"Ratio",14.9040404040404
"98",10,"Ratio",14.6237718649914
"99",20,"Ratio",15.6560355065578
"100",30,"Ratio",19.747645660332
"101",3,"Ratio",15.0787878787879
"102",6,"Ratio",18.5444444444444
"103",10,"Ratio",15.7701748537194
"104",20,"Ratio",17.4428919631094
"105",30,"Ratio",15.6774430462011
"106",3,"Ratio",19.9444444444444
"107",6,"Ratio",17.3964820619993
"108",10,"Ratio",14.1085702634904
"109",20,"Ratio",16.1844264069264
"110",30,"Ratio",16.9770705915138
"111",3,"Ratio",22.9388888888889
"112",6,"Ratio",19.4777777777778
"113",10,"Ratio",15.2031895206243
"114",20,"Ratio",16.4518650793651
"115",30,"Ratio",15.5790702630703
"116",3,"Ratio",15.1388888888889
"117",6,"Ratio",16.2305555555556
"118",10,"Ratio",20.1357142857143
"119",20,"Ratio",17.0765089711242
"120",30,"Ratio",17.2334221755256
"121",3,"Ratio",11.8957284810943
"122",6,"Ratio",13.8792390405294
"123",10,"Ratio",17.5599979497431
"124",20,"Ratio",17.9558048356774
"125",30,"Ratio",15.3194586552533
"126",3,"Ratio",9.83044733044733
"127",6,"Ratio",15.9301587301587
"128",10,"Ratio",21.3924242424242
"129",20,"Ratio",15.9581623931624
"130",30,"Ratio",14.4919008769009
"131",3,"Ratio",17.1232323232323
"132",6,"Ratio",15.8750590835996
"133",10,"Ratio",15.4259220779221
"134",20,"Ratio",16.0331182119123
"135",30,"Ratio",15.3951856739437
"136",3,"Ratio",18.7666666666667
"137",6,"Ratio",16.7289497969731
"138",10,"Ratio",17.6555555555556
"139",20,"Ratio",15.725620803736
"140",30,"Ratio",16.3098324783107
"141",3,"Ratio",15.8825396825397
"142",6,"Ratio",13.4231078904992
"143",10,"Ratio",18.9102697708795
"144",20,"Ratio",15.1274346689895
"145",30,"Ratio",15.7552476002259
"146",3,"Ratio",16.6333333333333
"147",6,"Ratio",16.3873737373737
"148",10,"Ratio",14.2050714518456
"149",20,"Ratio",14.4131601731602
"150",30,"Ratio",16.0918518606916
"151",3,"Ratio",14.9333333333333
"152",6,"Ratio",14.7098659003831
"153",10,"Ratio",13.1588058608059
"154",20,"Ratio",16.8447085253456
"155",30,"Ratio",16.3557775187775
"156",3,"Ratio",20.5851851851852
"157",6,"Ratio",11.9668458781362
"158",10,"Ratio",17.6717857142857
"159",20,"Ratio",20.3129519031693
"160",30,"Ratio",16.2998693010105
"161",3,"Ratio",17.9166666666667
"162",6,"Ratio",14.4896640826873
"163",10,"Ratio",18.6638528138528
"164",20,"Ratio",15.7064920634921
"165",30,"Ratio",16.6801772719515
"166",3,"Ratio",16.7636363636364
