"","SampleSize","Method","Activity"
"1",3,"Ratio",14.3414141414141
"2",6,"Ratio",13.5174848775591
"3",10,"Ratio",12.2645029415029
"4",20,"Ratio",13.0137113498158
"5",30,"Ratio",13.9630724602788
"6",3,"Ratio",16.6636363636364
"7",6,"Ratio",13.2759805870271
"8",10,"Ratio",13.0975750593493
"9",20,"Ratio",14.2872690576439
"10",30,"Ratio",12.7702371465647
"11",3,"Ratio",12.2383838383838
"12",6,"Ratio",15.2764076223394
"13",10,"Ratio",11.9649090205188
"14",20,"Ratio",13.6436266905138
"15",30,"Ratio",12.6887018602328
"16",3,"Ratio",13.5205962059621
"17",6,"Ratio",13.6886363636364
"18",10,"Ratio",12.8681656463635
"19",20,"Ratio",13.2802965016014
"20",30,"Ratio",13.219589083585
"21",3,"Ratio",13.016354016354
"22",6,"Ratio",12.6756613756614
"23",10,"Ratio",12.7155555555556
"24",20,"Ratio",13.7215575835146
"25",30,"Ratio",13.3962156457128
"26",3,"Ratio",11.6377777777778
"27",6,"Ratio",13.7824194324194
"28",10,"Ratio",11.4828431721535
"29",20,"Ratio",13.6505375686336
"30",30,"Ratio",12.191249304112
"31",3,"Ratio",13.2281362007168
"32",6,"Ratio",15.8398690709036
"33",10,"Ratio",13.0767777073875
"34",20,"Ratio",12.7540250100021
"35",30,"Ratio",13.2179336673929
"36",3,"Ratio",11.6507122507123
"37",6,"Ratio",14.2183789110618
"38",10,"Ratio",14.2597102627548
"39",20,"Ratio",13.5245975212527
"40",30,"Ratio",12.9741403951407
"41",3,"Ratio",13.7332577046701
"42",6,"Ratio",12.9031320961554
"43",10,"Ratio",12.2032056832057
"44",20,"Ratio",13.5794259586602
"45",30,"Ratio",13.8334361226374
"46",3,"Ratio",13.275624461671
"47",6,"Ratio",13.7684049470866
"48",10,"Ratio",13.4851836135857
"49",20,"Ratio",12.0422474039763
"50",30,"Ratio",13.8878596761326
"51",3,"Ratio",9.80687830687831
"52",6,"Ratio",14.8335125448029
"53",10,"Ratio",13.6556060606061
"54",20,"Ratio",14.4671644183219
"55",30,"Ratio",14.0409568274242
"56",3,"Ratio",11.5363247863248
"57",6,"Ratio",13.3319921250154
"58",10,"Ratio",12.1017966477966
"59",20,"Ratio",12.940430759205
"60",30,"Ratio",13.1288185097412
"61",3,"Ratio",11.122792022792
"62",6,"Ratio",14.400144810219
"63",10,"Ratio",12.7238619416759
"64",20,"Ratio",12.9833217893218
"65",30,"Ratio",13.1530538115904
"66",3,"Ratio",13.4388888888889
"67",6,"Ratio",11.7963790637704
"68",10,"Ratio",12.4061930022375
"69",20,"Ratio",12.5509245796166
"70",30,"Ratio",13.2730816147404
"71",3,"Ratio",13.5121212121212
"72",6,"Ratio",12.3756392186625
"73",10,"Ratio",14.0973672471124
"74",20,"Ratio",13.1799055066797
"75",30,"Ratio",12.7984615532167
"76",3,"Ratio",12.9901021711367
"77",6,"Ratio",12.8151797919874
"78",10,"Ratio",13.9740158572694
"79",20,"Ratio",13.1231189977235
"80",30,"Ratio",12.0949648934323
"81",3,"Ratio",12.0670250896057
"82",6,"Ratio",12.3152365026278
"83",10,"Ratio",12.4961097087195
"84",20,"Ratio",13.6058293807642
"85",30,"Ratio",13.4026188372533
"86",3,"Ratio",11.3047138047138
"87",6,"Ratio",11.5276076206309
"88",10,"Ratio",13.4649804723644
"89",20,"Ratio",13.4195014209705
"90",30,"Ratio",13.4438257015389
"91",3,"Ratio",10.5059139784946
"92",6,"Ratio",14.1114075537989
"93",10,"Ratio",13.6211215604319
"94",20,"Ratio",13.4557885290957
"95",30,"Ratio",12.5545284206113
"96",3,"Ratio",12.979020979021
"97",6,"Ratio",12.860298102981
"98",10,"Ratio",12.6616267324407
"99",20,"Ratio",13.4962393060556
"100",30,"Ratio",13.718373416569
"101",3,"Ratio",13.9589791125942
"102",6,"Ratio",12.8713476137389
"103",10,"Ratio",13.0961818181818
"104",20,"Ratio",13.3973668201717
"105",30,"Ratio",13.4914178412725
"106",3,"Ratio",12.9422799422799
"107",6,"Ratio",11.9189786570019
"108",10,"Ratio",12.5644909728931
"109",20,"Ratio",14.294925019425
"110",30,"Ratio",14.1493584939197
"111",3,"Ratio",13.6565656565657
"112",6,"Ratio",13.9389789645704
"113",10,"Ratio",14.6368358461462
"114",20,"Ratio",11.9125943278062
"115",30,"Ratio",12.5879282913469
"116",3,"Ratio",14.0740740740741
"117",6,"Ratio",15.5148833159178
"118",10,"Ratio",13.926586676711
