"","SampleSize","Method","Activity","StdDev","Lower","Upper","StdErr","CILower","CIUpper"
"1",3,"Ratio",16.4843858295659,3.47755207622935,13.0068337533366,19.9619379057953,0.109969852427322,11.2906082806083,25.6248449612403
"2",6,"Ratio",16.1999486676469,2.41365882058779,13.7862898470592,18.6136074882347,0.0763265936761312,12.2064655192478,21.7674513888889
"3",10,"Ratio",16.2917179843969,1.96633103945225,14.3253869449447,18.2580490238492,0.0621808471855551,13.1153048747847,20.7216798111476
"4",20,"Ratio",16.2506508633788,1.31089711529087,14.939753748088,17.5615479786697,0.0414542066246348,13.8635649672476,18.9956136859819
"5",30,"Ratio",16.3069494003168,1.07790041701495,15.2290489833018,17.3848498173317,0.0340862040861257,14.4774523366169,18.564269332261
"6",3,"OLS",14.3760409020882,3.0732616044136,11.3027792976746,17.4493025065018,0.0971850651549036,9.6701555517333,21.1844387755102
"7",6,"OLS",13.7392905263808,2.34567293654251,11.3936175898383,16.0849634629233,0.0741766912528994,9.98168770848453,18.7932154343267
"8",10,"OLS",13.3936347023963,2.02820779106864,11.3654269113277,15.4218424934649,0.0641375618787582,10.2519063057347,18.0371473999599
"9",20,"OLS",13.120315620371,1.46605278806185,11.6542628323091,14.5863684084328,0.0463606598031556,10.6046843803795,16.1840466813413
"10",30,"OLS",13.0161113333182,1.23774565298996,11.7783656803283,14.2538569863082,0.0391409542742067,10.9632951996623,15.7122556128916
"11",3,"EIV",14.9205507298946,3.47722389481286,11.4433268350818,18.3977746247075,0.109959474419704,9.80618063254091,22.4910946818926
"12",6,"EIV",14.2538134794185,2.54224181282122,11.7115716665973,16.7960552922397,0.080392744914305,10.1754252774882,19.4403628141305
"13",10,"EIV",13.9304108817972,2.1825289094408,11.7478819723564,16.112939791238,0.0690176241299628,10.4671126516249,18.5927916461496
"14",20,"EIV",13.7126678091599,1.55984291878832,12.1528248903716,15.2725107279482,0.0493265641545614,11.0410522458012,17.0802677841483
"15",30,"EIV",13.6343311168888,1.3131536712377,12.3211774456511,14.9474847881265,0.0415255651892308,11.4092901229012,16.5107292979596
"16",3,"REIV",14.9920528596621,3.46783024531589,11.5242226143462,18.459883104978,0.109662421140187,9.89730672563194,22.531168734122
"17",6,"REIV",14.3306052713622,2.53425951513689,11.7963457562253,16.8648647864991,0.0801403224978652,10.2680042482284,19.55063419118
"18",10,"REIV",14.0185561929114,2.17654099490195,11.8420151980095,16.1950971878134,0.0688282696461911,10.5631152723772,18.6667392032134
"19",20,"REIV",13.8466253077113,1.55856174817949,12.2880635595319,15.4051870558908,0.0492860499826096,11.2019629784268,17.2445701751644
"20",30,"REIV",13.7813464170372,1.30592024842158,12.4754261686157,15.0872666654588,0.041296824275451,11.554379817088,16.6612728129818
