"","SimType","Measure","TxnEff","N","R","A","sd11","sd12","sd21","sd22","Contamination","Ratio","OLS","EIV","REIV"
"1","Efficiency","Zamar",0.1,10,50,10,3,3,30,30,0.05,0.001015300077788,0.000409813491784482,0.000224959007161368,0.000225346275376603
"2","Efficiency","Zamar",0.25,10,50,10,3,3,30,30,0.05,0.000324366125824134,6.02724738805978e-05,4.45664504702126e-05,4.46499154428267e-05
"3","Efficiency","Zamar",0.5,10,50,10,3,3,30,30,0.05,0.000108791847091756,1.45920809999937e-05,1.37411049196767e-05,1.3534239626299e-05
"4","Efficiency","Zamar",0.75,10,50,10,3,3,30,30,0.05,7.47959423238391e-06,6.26694514341719e-06,6.48584006933942e-06,6.23972499413224e-06
"5","Efficiency","Zamar",0.9,10,50,10,3,3,30,30,0.05,4.43067777561497e-06,4.15268712556742e-06,4.59055262277889e-06,4.23536587096078e-06
"6","Efficiency","Error",0.1,10,50,10,3,3,30,30,0.05,2.858143442942,0.331873907691207,0.482895099976012,0.489127025822083
"7","Efficiency","Error",0.25,10,50,10,3,3,30,30,0.05,0.672084211596901,0.167733174821912,0.16231539137981,0.160031165803447
"8","Efficiency","Error",0.5,10,50,10,3,3,30,30,0.05,0.208230686141984,0.0873999351426461,0.0888815737238117,0.0887810494533045
"9","Efficiency","Error",0.75,10,50,10,3,3,30,30,0.05,0.0637658975312877,0.057571612750353,0.0591122167925127,0.0560007617662666
"10","Efficiency","Error",0.9,10,50,10,3,3,30,30,0.05,0.0501320760222243,0.0497370799097811,0.0503163973665575,0.0489724709874859
"11","Efficiency","Precision",0.1,10,50,10,3,3,30,30,0.05,0.645986856283281,0.157733596441569,0.245898337338902,0.247854555976355
"12","Efficiency","Precision",0.25,10,50,10,3,3,30,30,0.05,0.236849456647863,0.0797318441215271,0.0849809612020583,0.0837746661767194
"13","Efficiency","Precision",0.5,10,50,10,3,3,30,30,0.05,0.0910172665997459,0.0528480670286592,0.0541567166790539,0.0532594601699585
"14","Efficiency","Precision",0.75,10,50,10,3,3,30,30,0.05,0.0415011129131633,0.0384354684893376,0.039100232423695,0.038951631520308
"15","Efficiency","Precision",0.9,10,50,10,3,3,30,30,0.05,0.0285431495047849,0.0275582330069402,0.0259282166399087,0.0257097546673297
"16","Activity","Zamar",0.25,10,50,1,3,3,3,3,0.05,0.0122070163857815,0.00118124528782156,0.242141089489117,0.00100678213783159
"17","Activity","Zamar",0.25,10,50,3,3,3,9,9,0.05,0.00306654916794462,0.00057504615459958,0.00115648402362575,0.0005176744483136
"18","Activity","Zamar",0.25,10,50,10,3,3,30,30,0.05,0.000356125362123567,6.59891560287155e-05,4.94015833813788e-05,4.94443701183308e-05
"19","Activity","Zamar",0.25,10,50,30,3,3,90,90,0.05,3.86053886229099e-05,5.71629605949993e-06,5.01616699971323e-06,5.02722297262411e-06
"20","Activity","Zamar",0.25,10,50,100,3,3,300,300,0.05,2.90419570944482e-06,5.59939448460852e-07,4.53295648256876e-07,4.54712124317025e-07
"21","Activity","Error",0.25,10,50,1,3,3,3,3,0.05,0.657923093593804,0.150620540191038,0.995794989302033,0.145960559160708
"22","Activity","Error",0.25,10,50,3,3,3,9,9,0.05,0.606590073087443,0.170234156544499,0.218885381930174,0.191308952722617
"23","Activity","Error",0.25,10,50,10,3,3,30,30,0.05,0.891072955342696,0.157184850415655,0.168439650346863,0.176322645044705
"24","Activity","Error",0.25,10,50,30,3,3,90,90,0.05,0.718584554022429,0.146828778453076,0.184011999520655,0.185621235886824
"25","Activity","Error",0.25,10,50,100,3,3,300,300,0.05,0.675244949361555,0.152264434543319,0.16714534252099,0.167883695576721
"26","Activity","Precision",0.25,10,50,1,3,3,3,3,0.05,0.215619850664559,0.0854603629552894,0.0444292090590813,0.0831269510909992
"27","Activity","Precision",0.25,10,50,3,3,3,9,9,0.05,0.198378618644537,0.0884211234491563,0.11277302525352,0.102006162415586
"28","Activity","Precision",0.25,10,50,10,3,3,30,30,0.05,0.209841910839629,0.0877803283194642,0.092043622494427,0.090606638808907
"29","Activity","Precision",0.25,10,50,30,3,3,90,90,0.05,0.209622064315984,0.0800177775409466,0.0966504666327992,0.0965199218025329
"30","Activity","Precision",0.25,10,50,100,3,3,300,300,0.05,0.216026541999058,0.0863502009700182,0.0852122500935157,0.0858637125534822
"31","SampleSize","Zamar",0.25,3,50,10,3,3,30,30,0.05,0.000627306763242111,0.000309663334979615,0.000229282966553749,0.000215370999881217
"32","SampleSize","Zamar",0.25,8,50,10,3,3,30,30,0.05,0.000360346707825258,5.82040032337087e-05,6.15180616173106e-05,6.24346429710968e-05
"33","SampleSize","Zamar",0.25,13,50,10,3,3,30,30,0.05,0.000367271859353343,4.70712151481919e-05,3.62594363297604e-05,3.66617898492146e-05
"34","SampleSize","Zamar",0.25,18,50,10,3,3,30,30,0.05,0.00031894540529722,3.3897175247346e-05,2.5590112107519e-05,2.72692261131546e-05
"35","SampleSize","Zamar",0.25,23,50,10,3,3,30,30,0.05,0.000344840495316627,3.17545562501409e-05,2.06204859532655e-05,2.22217672842913e-05
"36","SampleSize","Zamar",0.25,28,50,10,3,3,30,30,0.05,0.000364499496175105,2.48568385562475e-05,1.9913539193002e-05,2.22534383294008e-05
"37","SampleSize","Zamar",0.25,33,50,10,3,3,30,30,0.05,0.000310280522496437,1.92693028772928e-05,1.32707252615076e-05,1.53701838467938e-05
"38","SampleSize","Zamar",0.25,38,50,10,3,3,30,30,0.05,0.000392665756184711,1.92603873253875e-05,1.29622488333307e-05,1.51284099654991e-05
"39","SampleSize","Zamar",0.25,43,50,10,3,3,30,30,0.05,0.000355403574151055,1.70926902741501e-05,1.17142506569253e-05,1.39445899791879e-05
"40","SampleSize","Zamar",0.25,48,50,10,3,3,30,30,0.05,0.000263426271312405,1.49715764513384e-05,1.05587458681981e-05,1.28865849616004e-05
"41","SampleSize","Zamar",0.25,53,50,10,3,3,30,30,0.05,0.000310307192163229,1.51727764963113e-05,1.05005879844666e-05,1.30553351674042e-05
"42","SampleSize","Zamar",0.25,58,50,10,3,3,30,30,0.05,0.000374759958486732,1.48872112175476e-05,1.29733265734133e-05,1.57449086713305e-05
"43","SampleSize","Zamar",0.25,63,50,10,3,3,30,30,0.05,0.000375777055022118,1.34105351483749e-05,8.89428067760711e-06,1.157971632934e-05
"44","SampleSize","Zamar",0.25,68,50,10,3,3,30,30,0.05,0.000353587943139234,1.36226379739564e-05,8.53983315619108e-06,1.10885604404169e-05
"45","SampleSize","Zamar",0.25,73,50,10,3,3,30,30,0.05,0.000336415958534646,1.40660881637204e-05,9.83485544684489e-06,1.25290781930854e-05
"46","SampleSize","Zamar",0.25,78,50,10,3,3,30,30,0.05,0.000375345954022115,1.37246000848135e-05,7.95251064853749e-06,1.02922600881794e-05
"47","SampleSize","Zamar",0.25,83,50,10,3,3,30,30,0.05,0.000383002338229634,1.24990406019132e-05,7.85826153106406e-06,1.0463707036269e-05
"48","SampleSize","Zamar",0.25,88,50,10,3,3,30,30,0.05,0.000478285110682358,1.15721434648482e-05,7.84000564880298e-06,1.05485442480224e-05
"49","SampleSize","Zamar",0.25,93,50,10,3,3,30,30,0.05,0.000443420064451416,1.28716095907611e-05,7.92159500944689e-06,1.04743172296677e-05
"50","SampleSize","Zamar",0.25,98,50,10,3,3,30,30,0.05,0.000396261546201906,1.1260020947436e-05,8.17405631239628e-06,1.09935137435938e-05
"51","SampleSize","Error",0.25,3,50,10,3,3,30,30,0.05,1.04989449376102,0.321327973522073,0.370168691222009,0.371315187484591
"52","SampleSize","Error",0.25,8,50,10,3,3,30,30,0.05,0.669292702844779,0.166643291647102,0.202442891601917,0.208488172703284
"53","SampleSize","Error",0.25,13,50,10,3,3,30,30,0.05,0.889590627982072,0.145910068041172,0.159003645636634,0.161753522207685
"54","SampleSize","Error",0.25,18,50,10,3,3,30,30,0.05,0.759941384241362,0.117417192799363,0.132493996625271,0.141883382299555
"55","SampleSize","Error",0.25,23,50,10,3,3,30,30,0.05,0.864211641807258,0.113010053686833,0.119729308247577,0.126160594770509
"56","SampleSize","Error",0.25,28,50,10,3,3,30,30,0.05,0.901418720091469,0.106303339863097,0.116466322053321,0.125082091372653
"57","SampleSize","Error",0.25,33,50,10,3,3,30,30,0.05,0.584349207108891,0.0929671843052217,0.090004102885407,0.0952815623062907
"58","SampleSize","Error",0.25,38,50,10,3,3,30,30,0.05,0.910545116320207,0.091205001968959,0.093803543031613,0.100114434820922
"59","SampleSize","Error",0.25,43,50,10,3,3,30,30,0.05,0.940206686817129,0.0847102930525376,0.0835944933280559,0.0914210461161629
"60","SampleSize","Error",0.25,48,50,10,3,3,30,30,0.05,0.623745676954807,0.080323405606725,0.0799984149402614,0.0879023241513621
"61","SampleSize","Error",0.25,53,50,10,3,3,30,30,0.05,0.696827257318248,0.0826462022789363,0.0798493909802972,0.0895347155832114
"62","SampleSize","Error",0.25,58,50,10,3,3,30,30,0.05,0.819112153922563,0.0816403267324449,0.0947644518174577,0.104074561217232
"63","SampleSize","Error",0.25,63,50,10,3,3,30,30,0.05,0.769619571322341,0.0765488897354478,0.0724192648401728,0.08314575062619
"64","SampleSize","Error",0.25,68,50,10,3,3,30,30,0.05,0.696594544027811,0.0788996873417241,0.0761148430517973,0.0848689317312703
"65","SampleSize","Error",0.25,73,50,10,3,3,30,30,0.05,0.681867475140801,0.0798699811007429,0.074054406504547,0.0838351966990614
"66","SampleSize","Error",0.25,78,50,10,3,3,30,30,0.05,0.860361344357198,0.076205408591376,0.0705546634797709,0.0796393640630199
"67","SampleSize","Error",0.25,83,50,10,3,3,30,30,0.05,0.810176678338623,0.0726279647099731,0.0683317676195043,0.0771999915760972
"68","SampleSize","Error",0.25,88,50,10,3,3,30,30,0.05,1.00377593637589,0.0703122974286003,0.0679797688303499,0.0783273836276609
"69","SampleSize","Error",0.25,93,50,10,3,3,30,30,0.05,0.886009968519115,0.0782831356328474,0.0673333342306034,0.0758254069562651
"70","SampleSize","Error",0.25,98,50,10,3,3,30,30,0.05,0.800148800129376,0.0690125752595643,0.0679984017573182,0.0771328178523718
"71","SampleSize","Precision",0.25,3,50,10,3,3,30,30,0.05,0.288207612205983,0.182134024808917,0.195479841152573,0.194391031002449
"72","SampleSize","Precision",0.25,8,50,10,3,3,30,30,0.05,0.247680779806358,0.0950837809812984,0.106739187269096,0.10507003794115
"73","SampleSize","Precision",0.25,13,50,10,3,3,30,30,0.05,0.198693990393394,0.0785919601295033,0.077387138138062,0.0772667554276969
"74","SampleSize","Precision",0.25,18,50,10,3,3,30,30,0.05,0.184559088275357,0.0605443981866942,0.0660273127526673,0.0640706360251156
"75","SampleSize","Precision",0.25,23,50,10,3,3,30,30,0.05,0.170685433962077,0.0585540305840004,0.0614341574502456,0.0620153016726811
"76","SampleSize","Precision",0.25,28,50,10,3,3,30,30,0.05,0.190972706606989,0.0601178810889424,0.0581303919844615,0.0573430942490754
"77","SampleSize","Precision",0.25,33,50,10,3,3,30,30,0.05,0.178191829780727,0.042421216668438,0.0453586933196263,0.0450253338397656
"78","SampleSize","Precision",0.25,38,50,10,3,3,30,30,0.05,0.195441328311898,0.0436125549963224,0.0443949279776214,0.0435250856662137
"79","SampleSize","Precision",0.25,43,50,10,3,3,30,30,0.05,0.190291745958695,0.0384609205342678,0.0438472314167441,0.043647949642757
"80","SampleSize","Precision",0.25,48,50,10,3,3,30,30,0.05,0.169295986262995,0.037234523958184,0.0390571329852722,0.038996518209438
"81","SampleSize","Precision",0.25,53,50,10,3,3,30,30,0.05,0.185705133003347,0.0358220763119731,0.0410486460288014,0.0398574901955696
"82","SampleSize","Precision",0.25,58,50,10,3,3,30,30,0.05,0.174093480354001,0.0392101682967043,0.0408362166991528,0.040421231666646
"83","SampleSize","Precision",0.25,63,50,10,3,3,30,30,0.05,0.175785726035089,0.0300217139758416,0.0345093352498635,0.0347564632590942
"84","SampleSize","Precision",0.25,68,50,10,3,3,30,30,0.05,0.167041692872594,0.0311145908535097,0.0332852442655623,0.0333539241012722
"85","SampleSize","Precision",0.25,73,50,10,3,3,30,30,0.05,0.142053424470814,0.0362479383787404,0.0370089825619032,0.0373031632298285
"86","SampleSize","Precision",0.25,78,50,10,3,3,30,30,0.05,0.173238629562499,0.0308850567252829,0.0356530919754117,0.0347854483110265
"87","SampleSize","Precision",0.25,83,50,10,3,3,30,30,0.05,0.174179435964935,0.0295826963682375,0.0303738520701258,0.0308420614924922
"88","SampleSize","Precision",0.25,88,50,10,3,3,30,30,0.05,0.179684924441232,0.0264224791312718,0.025957789158651,0.0262640423202907
"89","SampleSize","Precision",0.25,93,50,10,3,3,30,30,0.05,0.171347715014188,0.0295851244843832,0.0321016512080524,0.0317974484599972
"90","SampleSize","Precision",0.25,98,50,10,3,3,30,30,0.05,0.166289079085699,0.0292873452651808,0.0308704042384042,0.0306157830721304
"91","Noise","Zamar",0.25,10,50,10,1,1,10,10,0.05,6.85032602825545e-05,5.71772083905834e-06,6.07827741711013e-06,6.02959883060953e-06
"92","Noise","Zamar",0.25,10,50,10,2,2,20,20,0.05,0.000180840326691237,2.37735745768841e-05,2.13263068879295e-05,2.1401647143849e-05
"93","Noise","Zamar",0.25,10,50,10,3,3,30,30,0.05,0.000353937065072755,5.62525233692157e-05,4.28845056924872e-05,4.35935091900178e-05
"94","Noise","Zamar",0.25,10,50,10,4,4,40,40,0.05,0.000502859070174032,0.000133528630995541,7.83160891848e-05,7.91047457406254e-05
"95","Noise","Zamar",0.25,10,50,10,5,5,50,50,0.05,0.000522136652285979,0.000188674064266709,0.000123165122699633,0.000123894900710281
"96","Noise","Zamar",0.25,10,50,10,6,6,60,60,0.05,0.000697113970678405,0.000313563242819572,0.000161435211817323,0.000162534923510927
"97","Noise","Zamar",0.25,10,50,10,7,7,70,70,0.05,0.000737980814960331,0.000384282978212758,0.000193697528957426,0.000194067669570915
"98","Noise","Zamar",0.25,10,50,10,8,8,80,80,0.05,0.000900932109672158,0.000592755507585409,0.000243005102093575,0.000245400413050888
"99","Noise","Zamar",0.25,10,50,10,9,9,90,90,0.05,0.00103306192438075,0.000679268705893857,0.000294481854650784,0.000295632734590533
"100","Noise","Zamar",0.25,10,50,10,10,10,100,100,0.05,0.000985989732165379,0.000725190733723112,0.000303264021653619,0.000307103399296551
