Luc,Ren,Construct,OHT,Cytokine,Time,ID,Experiment
623,41,0,F,IL3,24h,93,1
377,25,0,F,IL3,24h,93,1
340,31,0,F,IL3,24h,93,1
319,30,0,F,IL3,24h,93,1
282,26,0,F,IL3,24h,93,1
600,63,0,F,IL3,24h,93,1
532,45,0,F,IL3,24h,93,1
456,38,0,F,IL3,24h,93,1
344,33,0,F,IL3,24h,93,1
456,43,0,F,IL3,24h,93,1
119,12,0,F,IL3,24h,105,2
107,10,0,F,IL3,24h,105,2
147,13,0,F,IL3,24h,105,2
110,6,0,F,IL3,24h,105,2
97,10,0,F,IL3,24h,105,2
94,6,0,F,IL3,24h,105,2
63,6,0,F,IL3,24h,105,2
146,10,0,F,IL3,24h,105,2
147,9,0,F,IL3,24h,105,2
167,9,0,F,IL3,24h,105,2
143,9,0,F,IL3,24h,105,3
101,5,0,F,IL3,24h,105,3
52,5,0,F,IL3,24h,105,3
44,5,0,F,IL3,24h,105,3
60,4,0,F,IL3,24h,105,3
90,5,0,F,IL3,24h,105,3
89,3,0,F,IL3,24h,105,3
95,4,0,F,IL3,24h,105,3
54,3,0,F,IL3,24h,105,3
125,7,0,F,IL3,24h,105,3
81,5,0,F,IL3,24h,106,4
109,6,0,F,IL3,24h,106,4
68,4,0,F,IL3,24h,106,4
93,8,0,F,IL3,24h,106,4
128,6,0,F,IL3,24h,106,4
82,7,0,F,IL3,24h,106,4
64,4,0,F,IL3,24h,106,4
71,3,0,F,IL3,24h,106,4
102,6,0,F,IL3,24h,106,4
115,10,0,F,IL3,24h,106,4
54,4,0,F,IL3,24h,106,4
73,5,0,F,IL3,24h,106,4
56,6,0,F,IL3,24h,106,4
101,8,0,F,IL3,24h,106,4
135,6,0,F,IL3,24h,106,4
46,4,0,F,IL3,24h,111,5
79,4,0,F,IL3,24h,111,5
68,4,0,F,IL3,24h,111,5
92,6,0,F,IL3,24h,111,5
97,3,0,F,IL3,24h,111,5
82,3,0,F,IL3,24h,111,5
92,5,0,F,IL3,24h,111,5
78,3,0,F,IL3,24h,111,5
140,3,0,F,IL3,24h,111,5
45,2,0,F,IL3,24h,111,5
237,15,0,F,IL3,24h,113,6
288,16,0,F,IL3,24h,113,6
420,23,0,F,IL3,24h,113,6
300,22,0,F,IL3,24h,113,6
282,18,0,F,IL3,24h,113,6
365,22,0,F,IL3,24h,113,6
385,25,0,F,IL3,24h,113,6
300,22,0,F,IL3,24h,113,6
440,33,0,F,IL3,24h,113,6
588,29,0,F,IL3,24h,113,6
27,2,0,F,IL3,24h,113,7
84,4,0,F,IL3,24h,113,7
40,3,0,F,IL3,24h,113,7
41,3,0,F,IL3,24h,113,7
71,3,0,F,IL3,24h,113,7
176,15,0,F,IL3,24h,113,7
121,14,0,F,IL3,24h,113,7
155,12,0,F,IL3,24h,113,7
79,9,0,F,IL3,24h,113,7
24,2,0,F,IL3,24h,113,7
63,4,0,F,IL3,24h,113,8
82,7,0,F,IL3,24h,113,8
81,4,0,F,IL3,24h,113,8
98,5,0,F,IL3,24h,113,8
86,4,0,F,IL3,24h,113,8
130,5,0,F,IL3,24h,113,8
63,5,0,F,IL3,24h,113,8
114,7,0,F,IL3,24h,113,8
109,5,0,F,IL3,24h,113,8
66,5,0,F,IL3,24h,113,8
